dataset,accuracy_ours,transform_time,accuracy_published,time_training_seconds,time_test_seconds,diff
ACSF1,0.9,0.3134310245513916,0.822333,0.49,0.25,0.07766700000000004
Adiac,0.8260869565217391,0.11909365653991699,0.801705,0.45,0.23,0.024381956521739134
ArrowHead,0.8857142857142857,0.07752847671508789,0.880952,0.13,0.14,0.004762285714285719
BME,0.9866666666666667,0.04938220977783203,0.992222,0.11,0.07,-0.0055553333333333565
Beef,0.8333333333333334,0.07256913185119629,0.761111,0.17,0.04,0.07222233333333339
BeetleFly,0.9,0.0724787712097168,0.906667,0.14,0.02,-0.0066669999999999785
BirdChicken,0.9,0.07143092155456543,0.908333,0.15,0.02,-0.008332999999999924
CBF,0.9988888888888889,0.09080195426940918,0.996222,0.08,0.4,0.0026668888888888853
Car,0.9,0.09941840171813965,0.921111,0.2,0.07,-0.02111099999999999
Chinatown,0.9795918367346939,0.036020517349243164,0.968999,0.1,0.12,0.0105928367346938
ChlorineConcentration,0.7515625,0.2999153137207031,0.753351,0.56,2.15,-0.0017884999999999707
CinCECGTorso,0.8021739130434783,0.8328332901000977,0.875797,0.41,3.82,-0.07362308695652175
Coffee,1.0,0.05699610710144043,0.99881,0.15,0.03,0.0011900000000000244
Computers,0.708,0.1815497875213623,0.793867,0.52,0.32,-0.08586700000000003
CricketX,0.8102564102564103,0.12909913063049316,0.825128,0.53,0.3,-0.014871589743589708
CricketY,0.7948717948717948,0.14301538467407227,0.841368,0.53,0.3,-0.04649620512820518
CricketZ,0.7846153846153846,0.1360619068145752,0.842479,0.53,0.3,-0.057863615384615374
Crop,0.7579166666666667,0.8945424556732178,0.752248,102.87,6.38,0.005668666666666655
DiatomSizeReduction,0.9575163398692811,0.13186216354370117,0.94281,0.1,0.26,0.014706339869281049
DistalPhalanxOutlineAgeGroup,0.7553956834532374,0.04769182205200195,0.803837,0.38,0.06,-0.04844131654676265
DistalPhalanxOutlineCorrect,0.7753623188405797,0.06328368186950684,0.821377,0.6,0.12,-0.04601468115942031
DistalPhalanxTW,0.697841726618705,0.05021047592163086,0.695923,0.38,0.06,0.0019187266187050689
ECG200,0.9,0.040572404861450195,0.899333,0.17,0.04,0.0006669999999999732
ECG5000,0.9455555555555556,0.23214387893676758,0.946133,0.59,2.34,-0.0005774444444444082
ECGFiveDays,0.9976771196283392,0.09369063377380371,0.990476,0.08,0.42,0.0072011196283391365
EOGHorizontalSignal,0.5911602209944752,0.27393293380737305,0.83628,1.08,0.75,-0.24511977900552484
EOGVerticalSignal,0.5303867403314917,0.2783780097961426,0.798066,1.08,0.75,-0.26767925966850836
Earthquakes,0.7482014388489209,0.11239981651306152,0.748681,0.52,0.13,-0.0004795611510791664
ElectricDevices,0.7377772014005965,0.447251558303833,0.874366,179.88,2.97,-0.13658879859940343
EthanolLevel,0.546,0.5347461700439453,0.664,2.01,1.53,-0.118
FaceAll,0.8035502958579882,0.12938714027404785,0.983452,0.59,0.82,-0.1799017041420118
FaceFour,0.9431818181818182,0.07171511650085449,0.940152,0.15,0.09,0.0030298181818182446
