dataset,accuracy,transform_time
ACSF1,0.9,0.3134310245513916
Adiac,0.8260869565217391,0.11909365653991699
ArrowHead,0.8857142857142857,0.07752847671508789
BME,0.9866666666666667,0.04938220977783203
Beef,0.8333333333333334,0.07256913185119629
BeetleFly,0.9,0.0724787712097168
BirdChicken,0.9,0.07143092155456543
CBF,0.9988888888888889,0.09080195426940918
Car,0.9,0.09941840171813965
Chinatown,0.9795918367346939,0.036020517349243164
ChlorineConcentration,0.7515625,0.2999153137207031
CinCECGTorso,0.8021739130434783,0.8328332901000977
Coffee,1.0,0.05699610710144043
Computers,0.708,0.1815497875213623
CricketX,0.8102564102564103,0.12909913063049316
CricketY,0.7948717948717948,0.14301538467407227
CricketZ,0.7846153846153846,0.1360619068145752
Crop,0.7579166666666667,0.8945424556732178
DiatomSizeReduction,0.9575163398692811,0.13186216354370117
DistalPhalanxOutlineAgeGroup,0.7553956834532374,0.04769182205200195
DistalPhalanxOutlineCorrect,0.7753623188405797,0.06328368186950684
DistalPhalanxTW,0.697841726618705,0.05021047592163086
ECG200,0.9,0.040572404861450195
ECG5000,0.9455555555555556,0.23214387893676758
ECGFiveDays,0.9976771196283392,0.09369063377380371
EOGHorizontalSignal,0.5911602209944752,0.27393293380737305
EOGVerticalSignal,0.5303867403314917,0.2783780097961426
Earthquakes,0.7482014388489209,0.11239981651306152
ElectricDevices,0.7377772014005965,0.447251558303833
EthanolLevel,0.546,0.5347461700439453
FaceAll,0.8035502958579882,0.12938714027404785
FaceFour,0.9431818181818182,0.07171511650085449
FacesUCR,0.9380487804878048,0.1119985580444336
FiftyWords,0.8,0.11168646812438965
Fish,0.96,0.10259509086608887
FordA,0.9522727272727273,0.554995059967041
FordB,0.8234567901234567,0.5186491012573242
FreezerRegularTrain,0.9992982456140351,0.25894618034362793
FreezerSmallTrain,0.94,0.24202942848205566
GunPoint,1.0,0.05325818061828613
GunPointAgeSpan,0.9873417721518988,0.05384683609008789
GunPointMaleVersusFemale,1.0,0.05229353904724121
GunPointOldVersusYoung,1.0,0.053663015365600586
Ham,0.7333333333333333,0.08052706718444824
Haptics,0.525974025974026,0.1768641471862793
Herring,0.59375,0.0709683895111084
HouseTwenty,0.9411764705882353,0.22633123397827148
InlineSkate,0.36727272727272725,0.3871293067932129
InsectEPGRegularTrain,1.0,0.11802482604980469
InsectEPGSmallTrain,1.0,0.10131168365478516
InsectWingbeatSound,0.6641414141414141,0.1688385009765625
ItalyPowerDemand,0.9640427599611273,0.05119800567626953
LargeKitchenAppliances,0.808,0.16251111030578613
Lightning2,0.7377049180327869,0.0959017276763916
Lightning7,0.7808219178082192,0.057427167892456055
Mallat,0.9458422174840085,0.5525226593017578
Meat,0.9666666666666667,0.07942700386047363
MedicalImages,0.8039473684210526,0.07804298400878906
MiddlePhalanxOutlineAgeGroup,0.6103896103896104,0.049866437911987305
MiddlePhalanxOutlineCorrect,0.8350515463917526,0.05638480186462402
MiddlePhalanxTW,0.5584415584415584,0.04689788818359375
MixedShapesRegularTrain,0.9682474226804124,0.7114295959472656
MixedShapesSmallTrain,0.9443298969072165,0.589348554611206
MoteStrain,0.9369009584664537,0.0814671516418457
OSULeaf,0.9132231404958677,0.09195327758789062
OliveOil,0.9666666666666667,0.05951714515686035
PhalangesOutlinesCorrect,0.8263403263403264,0.11005425453186035
Phoneme,0.24578059071729957,0.5299203395843506
PigAirwayPressure,0.1875,0.2675957679748535
PigArtPressure,0.9759615384615384,0.26012659072875977
PigCVP,0.7932692307692307,0.2708117961883545
Plane,1.0,0.0380096435546875
PowerCons,0.9888888888888889,0.052496910095214844
ProximalPhalanxOutlineAgeGroup,0.8390243902439024,0.0473630428314209
ProximalPhalanxOutlineCorrect,0.9037800687285223,0.05568289756774902
ProximalPhalanxTW,0.8048780487804879,0.04553055763244629
RefrigerationDevices,0.456,0.17708730697631836
Rock,0.78,0.23353290557861328
ScreenType,0.44,0.1712021827697754
SemgHandGenderCh2,0.895,0.4237232208251953
SemgHandMovementCh2,0.68,0.42682576179504395
SemgHandSubjectCh2,0.86,0.414318323135376
ShapeletSim,0.8833333333333333,0.08399248123168945
ShapesAll,0.9133333333333333,0.18783855438232422
SmallKitchenAppliances,0.8,0.17152905464172363
SmoothSubspace,0.9266666666666666,0.027060747146606445
SonyAIBORobotSurface1,0.8119800332778702,0.04663276672363281
SonyAIBORobotSurface2,0.8656873032528857,0.04407691955566406
StarLightCurves,0.9821515298688683,1.9023473262786865
Strawberry,0.981081081081081,0.12636470794677734
SwedishLeaf,0.9664,0.07800102233886719
Symbols,0.9748743718592965,0.14432525634765625
SyntheticControl,0.99,0.046541452407836914
ToeSegmentation1,0.9517543859649122,0.06142568588256836
ToeSegmentation2,0.9076923076923077,0.06223559379577637
Trace,1.0,0.059540510177612305
TwoLeadECG,0.9929762949956101,0.07262682914733887
TwoPatterns,0.9915,0.18343877792358398
UMD,0.9861111111111112,0.05681490898132324
UWaveGestureLibraryAll,0.9684533780011167,0.9065210819244385
UWaveGestureLibraryX,0.8380792853154663,0.36023950576782227
UWaveGestureLibraryY,0.7512562814070352,0.3645291328430176
UWaveGestureLibraryZ,0.7939698492462312,0.39958620071411133
Wafer,0.9985399091499026,0.33638739585876465
Wine,0.8518518518518519,0.05574178695678711
WordSynonyms,0.6990595611285266,0.10628843307495117
Worms,0.7142857142857143,0.1360330581665039
WormsTwoClass,0.7142857142857143,0.13500094413757324
Yoga,0.883,0.34162068367004395
